FID;TITULAR;N_PERT;N_CODIGOCE;ESPECIES;TOPONIMIO;T_ESTADOTR;T_GRUPOESP;SUPERFICIE;AGRUPCONCE;COMUNA;REGION;CartaGeogr;Datum;Huso;COORDENADA;N_RESOLSSP;F_RESOLSSP;N_RESOLSSF;F_RESOLSSF;TIPOPORC;ESTADO_UOT
1237;SALMONES TECMAR S.A.;200103266;104286;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, LUCHE, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO;ISLA TALCÁN, AL NOROESTE DE PUNTA NEF;CONCESION OTORGADA;SALMONES;21,33;15;CHAITEN;REGIÓN DE LOS LAGOS;PLANO-DPC-305;WGS-84;18 SUR;"S 42°47´55.9900, W 72°57´55.2600

S 42°47´59.5400, W 72°57´39.3700

S 42°48´17.0800, W 72°57´46.6100

S 42°48´13.5200, W 72°58´2.4900";2320;28-08-2008;3258;14-08-2013;AGUA Y FONDO;CONCESIÓN OTORGADA
1243;CERMAQ CHILE S.A.;95103115;104110;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, LUCHE, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO;NORTE DE BAJO CHAUQUES;CONCESION OTORGADA;SALMONES;25;8;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-305;WGS-84;18 SUR;"S 42°14´32.2100, W 73°15´38.9300

S 42°14´32.0500, W 73°15´28.0200

S 42°13´59.6400, W 73°15´28.9200

S 42°13´59.8000, W 73°15´39.8200";1078;01-06-2001;1941;13-09-2001;AGUA Y FONDO;CONCESIÓN OTORGADA
1244;CERMAQ CHILE S.A.;95103001;102183;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;NOROESTE DE ISLA AULIN;CONCESION OTORGADA;SALMONES;17,52;8;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-305;WGS-84;18 SUR;"S 42°15´17.9000, W 73°10´45.5000

S 42°15´21.3300, W 73°10´20.4400

S 42°15´11.7700, W 73°10´18.0700

S 42°15´8.3400, W 73°10´43.1300";1628;23-11-1998;454;26-02-1999;AGUA Y FONDO;CONCESIÓN OTORGADA
1245;INVERMAR S.A.;98103016;103333;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, HUIRO, LUCHE, LUGA NEGRA O CRESPA, LUGA-LUGA, LUGA-ROJA;NORESTE DE PUNTA TUGNAO, ISLA BUTACHAUQUES;CONCESION OTORGADA;SALMONES;32,09;8;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-305;WGS-84;18 SUR;"S 42°14´56.5600, W 73°2´38.9200

S 42°15´3.4300, W 73°2´26.7300

S 42°15´27.0700, W 73°2´50.8700

S 42°15´20.2000, W 73°3´3.0500";3075;28-11-2003;1843;22-12-2003;AGUA Y FONDO;CONCESIÓN OTORGADA
1247;MOWI CHILE S.A.;95103162;102315;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, LUCHE, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO;NORTE DE PIEDRA LILECURA;CONCESION OTORGADA;SALMONES;28;8;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°15´30.0600, W 73°20´2.8300

S 42°15´25.5100, W 73°19´46.4900

S 42°15´4.2600, W 73°19´57.2200

S 42°15´8.8200, W 73°20´13.5600";744;26-05-1998;1753;30-09-1999;AGUA Y FONDO;CONCESIÓN OTORGADA
1252;PRODUCTOS DEL MAR VENTISQUEROS S.A.;199103031;103489;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ESTE DE MORRO LOBOS, ISLA CAUCAHUÉ;CONCESION OTORGADA;SALMONES;14,1;7;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°6´25.5800, W 73°22´43.0000

S 42°6´13.7300, W 73°22´43.9900

S 42°6´14.4400, W 73°22´17.2400

S 42°6´17.5800, W 73°22´17.1700";944;01-04-2005;927;04-05-2005;AGUA Y FONDO;CONCESIÓN OTORGADA
1256;MOWI CHILE S.A.;900000302;103445;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, ABALON JAPONES, ABALON ROJO, OSTION DE CHILOE, OSTION DEL NORTE, OSTION DEL SUR, OSTION P;BAHÍA LINAO;CONCESION OTORGADA;SALMONES;11,63;6;ANCUD;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 41°57´11.7100, W 73°32´43.5500

S 41°57´12.9000, W 73°32´40.9800

S 41°57´22.1000, W 73°32´49.1000

S 41°57´16.9100, W 73°33´13.3200

S 41°57´13.9600, W 73°33´12.4800

S 41°57´15.5000, W 73°33´0.5600

S 41°57´14.3300, W 73°32´53.4";696;11-07-1988;338;22-03-1989;AGUA Y FONDO;CONCESIÓN OTORGADA
1258;SALMONES TECMAR S.A.;900000271;100960;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ESTERO CURBITA, ISLA CAUCAHUÉ;CONCESION OTORGADA;SALMONES;49,99;7;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°9´20.2200, W 73°24´56.8000

S 42°9´49.1400, W 73°24´27.9700

S 42°9´57.8300, W 73°24´43.7200

S 42°9´28.9100, W 73°25´12.5500";254;08-03-1988;1873;10-06-2016;AGUA Y FONDO;CONCESIÓN OTORGADA
1262;CERMAQ CHILE S.A.;900000059;100065;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, LUCHE, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO;PUERTO QUEMCHI;CONCESION OTORGADA;SALMONES;2,48;7;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°8´57.5100, W 73°28´52.1500

S 42°8´57.4400, W 73°28´47.0000

S 42°8´50.6300, W 73°28´47.1700

S 42°8´50.7000, W 73°28´52.3100";776;27-06-1991;544;19-06-1985;AGUA Y FONDO;CONCESIÓN OTORGADA
1263;CERMAQ CHILE S.A.;93103031;101953;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;CANAL CAUCAHUÉ, AL SUR DE PUNTA ARENAS;CONCESION OTORGADA;SALMONES;29,76;7;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°6´43.9800, W 73°25´30.1200

S 42°6´53.3500, W 73°25´23.1300

S 42°7´7.5200, W 73°25´57.3800

S 42°6´58.1400, W 73°26´4.3700";1217;01-07-1996;1975;30-12-1996;AGUA Y FONDO;CONCESIÓN OTORGADA
1265;NUEVA CERMAQ CHILE S.A.;97103050;102458;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ISLA CAUCAHUÉ, ENTRE PUNTA LAMAHUE Y PUNTA LLEUNA;CONCESION OTORGADA;SALMONES;12,44;7;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°9´29.2000, W 73°20´11.9900

S 42°9´47.7400, W 73°20´1.3500

S 42°9´50.2900, W 73°20´9.3700

S 42°9´31.7400, W 73°20´20.0100";1650;26-07-2000;1648;29-09-2000;AGUA Y FONDO;CONCESIÓN OTORGADA
1266;PRODUCTOS DEL MAR VENTISQUEROS S.A.;900000158;100120;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ESTERO TUBILDAD;CONCESION OTORGADA;SALMONES;22,8;7;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°7´54.5100, W 73°28´9.2500

S 42°7´43.2700, W 73°28´12.8500

S 42°7´40.2100, W 73°28´8.9100

S 42°7´41.6100, W 73°27´56.6000

S 42°7´49.7100, W 73°27´46.4900

S 42°8´0.6300, W 73°28´1.0100";283;07-04-1987;1511;22-12-1993;AGUA Y FONDO;CONCESIÓN OTORGADA
1274;SALMONES ANTARTICA S.A.;900000318;100596;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ISLA QUENAC, ENTRE CALETA PUNILCO Y PUNTA MAYAHUE;CONCESION OTORGADA;SALMONES;30,52;9B;QUINCHAO;REGIÓN DE LOS LAGOS;SHOA-7390;WGS-84;18 SUR;"S 42°29´25.7700, W 73°20´7.5700

S 42°29´25.5800, W 73°19´54.4300

S 42°29´58.5500, W 73°19´53.5600

S 42°29´58.7500, W 73°20´6.7000";781;01-08-1988;18;23-01-1995;AGUA Y FONDO;CONCESIÓN OTORGADA
1280;NUEVA CERMAQ CHILE S.A.;97103049;102305;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ISLA CAUCAHUÉ, ENTRE MORRO LOBOS Y PUNTA LAMAHUE;CONCESION OTORGADA;SALMONES;12,57;7;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°7´44.7500, W 73°21´43.6800

S 42°8´3.5600, W 73°21´33.1600

S 42°8´6.0500, W 73°21´41.2100

S 42°7´47.2400, W 73°21´51.7200";792;17-05-1999;1698;31-08-1999;AGUA Y FONDO;CONCESIÓN OTORGADA
1284;SAYSEN I SPA;900000694;101531;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;CANAL CAUCAHUÉ, ENSENADA PILLIHUE,  ISLA CAUCAHUE;CONCESION OTORGADA;SALMONES;50;7;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°8´58.0600, W 73°26´38.4000

S 42°9´14.1700, W 73°25´31.5500

S 42°9´23.7300, W 73°25´35.7100

S 42°9´7.6200, W 73°26´42.5600";245;13-02-1990;452;24-07-1992;AGUA Y FONDO;CONCESIÓN OTORGADA
1285;CERMAQ CHILE S.A.;900000081;100066;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ESTERO TUBILDAD, AL OESTE DE PUNTA TUBILDAD;CONCESION OTORGADA;SALMONES;3,54;7;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°7´31.4900, W 73°28´10.3500

S 42°7´37.2000, W 73°28´0.0400

S 42°7´40.3200, W 73°28´3.1600

S 42°7´34.6100, W 73°28´13.4700";1740;30-12-1988;126;17-01-2006;AGUA Y FONDO;CONCESIÓN OTORGADA
1286;CERMAQ CHILE S.A.;900000505;100067;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, OSTION DEL NORTE, OSTION DEL SUR, CHASCON O HUIRO NEGRO, COCHAYUYO, LUCHE, LUGA NEGRA O C;PUERTO HUITE, AL OESTE DE PUNTA ARENAS;CONCESION OTORGADA;SALMONES;6,61;7;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°6´43.7400, W 73°26´3.0000

S 42°6´32.6600, W 73°25´48.8200

S 42°6´29.5300, W 73°25´53.2300

S 42°6´40.6100, W 73°26´7.4200";1700;30-12-1988;895;09-12-1992;AGUA Y FONDO;CONCESIÓN OTORGADA
1288;MOWI CHILE S.A.;900000790;101689;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;BAHÍA LINAO, SECTOR HUELDEN;CONCESION OTORGADA;SALMONES;9,8;6;ANCUD;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 41°55´58.5600, W 73°31´32.5300

S 41°55´52.0800, W 73°31´32.5200

S 41°55´56.6700, W 73°31´11.2500

S 41°56´3.1500, W 73°31´11.2700";1564;21-12-1990;1204;24-07-1995;AGUA Y FONDO;CONCESIÓN OTORGADA
1298;CERMAQ CHILE S.A.;200103025;102850;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;CANAL CAUCAHUÉ, ENSENADA CHEÑIQUE, ISLA CAUCAHUÉ;CONCESION OTORGADA;SALMONES;1,2;7;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°10´25.7400, W 73°23´52.7700

S 42°10´31.7200, W 73°23´42.4500

S 42°10´30.6900, W 73°23´41.3800

S 42°10´24.7200, W 73°23´51.6900";520;20-02-2003;1068;07-04-2003;AGUA Y FONDO;CONCESIÓN OTORGADA
1301;MOWI CHILE S.A.;94105043;102055;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;SURESTE DE PENÍNSULA GUAPILINAO;CONCESION OTORGADA;SALMONES;7,5;6;ANCUD;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 41°57´48.2100, W 73°30´56.5900

S 41°57´48.0700, W 73°30´45.7300

S 41°57´38.3400, W 73°30´45.9600

S 41°57´38.4800, W 73°30´56.8100";1803;23-10-1996;709;03-02-1997;AGUA Y FONDO;CONCESIÓN OTORGADA
1308;SALMONES TECMAR S.A.;900000247;100414;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;CANAL CAUCAHUÉ, SECTOR CHOEN;CONCESION OTORGADA;SALMONES;50;7;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°12´35.7200, W 73°23´51.5600

S 42°12´34.9500, W 73°22´57.0700

S 42°12´21.9900, W 73°22´57.4000

S 42°12´22.7500, W 73°23´51.8900";1432;10-12-1987;1206;18-12-1989;AGUA Y FONDO;CONCESIÓN OTORGADA
1321;TRUSAL S.A.;200103039;102967;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ISLA QUENAC, AL NORTE DE CALETA PUNILCO;CONCESION OTORGADA;SALMONES;21,35;9B;QUINCHAO;REGIÓN DE LOS LAGOS;SHOA-7390;WGS-84;18 SUR;"S 42°27´41.9100, W 73°18´25.6900

S 42°27´22.6500, W 73°18´7.3900

S 42°27´24.1900, W 73°18´4.6800

S 42°27´49.1100, W 73°18´3.5200

S 42°27´43.7900, W 73°18´17.3200";3138;01-12-2003;1834;22-12-2003;AGUA Y FONDO;CONCESIÓN OTORGADA
1328;TRUSAL S.A.;199103065;102742;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;SURESTE  PUNTA POLUCUHE, ISLA MEULIN;CONCESION OTORGADA;SALMONES;41;9B;QUINCHAO;REGIÓN DE LOS LAGOS;SHOA-7390;WGS-84;18 SUR;"S 42°25´54.4700, W 73°16´35.4600

S 42°25´53.5000, W 73°16´2.4400

S 42°26´4.5600, W 73°16´2.1300

S 42°26´10.1500, W 73°16´34.4000

S 42°26´10.8700, W 73°16´52.5800";2289;22-10-2002;267;06-01-2003;AGUA Y FONDO;CONCESIÓN OTORGADA
1335;TRUSAL S.A.;204103141;104109;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, HUIRO, LUCHE, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO;ESTE DE ISLA CAGUACHE;CONCESION OTORGADA;SALMONES;6,21;9B;QUINCHAO;REGIÓN DE LOS LAGOS;SHOA-7390;WGS-84;18 SUR;"S 42°29´20.3200, W 73°14´13.4700

S 42°29´21.6200, W 73°14´4.8900

S 42°29´31.5000, W 73°14´7.6400

S 42°29´30.1900, W 73°14´16.2200";2708;12-08-2009;1224;29-06-2010;AGUA Y FONDO;CONCESIÓN OTORGADA
1336;SALMONES PACIFIC STAR S.A.;205103009;104167;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;NORTE DE ISLA ALAO;CONCESION OTORGADA;SALMONES;22,01;9C;QUINCHAO;REGIÓN DE LOS LAGOS;SHOA-7390;WGS-84;18 SUR;"S 42°32´40.4700, W 73°17´1.7600

S 42°32´37.5900, W 73°16´48.6700

S 42°32´59.5300, W 73°16´39.8300

S 42°33´2.4200, W 73°16´52.9200";1177;29-03-2010;1746;24-05-2011;AGUA Y FONDO;CONCESIÓN OTORGADA
1347;CULTIVOS YADRAN S.A.;95103189;102149;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;CANAL TAC, AL NORTE DE PUNTA PICHE NICHE, ISLA TAC;CONCESION OTORGADA;SALMONES;2,5;8;QUEMCHI;REGIÓN DE LOS LAGOS;SHOA-7390;WGS-84;18 SUR;"S 42°22´11.0500, W 73°6´37.7900

S 42°22´10.9800, W 73°6´26.8600

S 42°22´14.2200, W 73°6´26.8200

S 42°22´14.2900, W 73°6´37.7500";801;03-06-1998;1443;17-08-1998;AGUA Y FONDO;CONCESIÓN OTORGADA
1354;CERMAQ CHILE S.A.;202103123;104111;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;OESTE DE ISLA CHELÍN;CONCESION OTORGADA;SALMONES;4,33;10A;CASTRO;REGIÓN DE LOS LAGOS;SHOA-7370;WGS-84;18 SUR;"S 42°34´32.3100, W 73°32´24.3700

S 42°34´33.4900, W 73°32´13.6600

S 42°34´43.6600, W 73°32´25.6800";1060;10-03-2010;1393;12-07-2010;AGUA Y FONDO;CONCESIÓN OTORGADA
1361;SALMONES ANTARTICA S.A.;96103399;102677;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;SUR DE ISLA TAUCOLON;CONCESION OTORGADA;SALMONES;30,94;8;QUEMCHI;REGIÓN DE LOS LAGOS;SHOA-7390;WGS-84;18 SUR;"S 42°19´32.2800, W 73°11´47.1200

S 42°19´51.8700, W 73°11´50.9400

S 42°20´1.2900, W 73°12´8.4200

S 42°19´49.8200, W 73°12´19.6500";2456;07-09-2015;1453;01-08-2002;AGUA Y FONDO;CONCESIÓN OTORGADA
1362;SALMONES ANTARTICA S.A.;97103074;102648;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;BAJO CHINCUI, ISLA BUTACHAUQUES;CONCESION OTORGADA;SALMONES;58,52;8;QUEMCHI;REGIÓN DE LOS LAGOS;SHOA-7390;WGS-84;18 SUR;"S 42°19´9.2700, W 73°8´46.3700

S 42°19´18.7700, W 73°8´9.3700

S 42°19´34.1200, W 73°8´5.9400

S 42°19´57.7800, W 73°8´12.5900";160;21-01-2002;756;04-03-2002;AGUA Y FONDO;CONCESIÓN OTORGADA
1367;SALMONES ANTARTICA S.A.;200103307;102789;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;SURESTE DE ISLA TAC;CONCESION OTORGADA;SALMONES;14,94;8;QUEMCHI;REGIÓN DE LOS LAGOS;SHOA-7390;WGS-84;18 SUR;"S 42°23´39.7400, W 73°6´11.5600

S 42°23´39.5900, W 73°6´2.8600

S 42°24´3.9000, W 73°6´2.1000

S 42°24´4.0500, W 73°6´10.8100";3221;26-11-2015;1738;02-12-2002;AGUA Y FONDO;CONCESIÓN OTORGADA
1386;MOWI CHILE S.A.;95103182;102318;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;SECTOR NORTE  DE  BAJO LA BARRA, ENTRE ISLA ALAO E;CONCESION OTORGADA;SALMONES;15;9C;QUINCHAO;REGIÓN DE LOS LAGOS;SHOA-7390;WGS-84;18 SUR;"S 42°32´23.8300, W 73°19´16.7900

S 42°32´23.7800, W 73°19´3.6400

S 42°32´7.5700, W 73°19´3.7500

S 42°32´7.6200, W 73°19´16.9000";11;07-01-1999;1790;30-09-1999;AGUA Y FONDO;CONCESIÓN OTORGADA
1387;TRUSAL S.A.;199103119;102818;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, HUIRO, LUCHE, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO;ENSENADA MEULÍN, ISLA MEULÍN;CONCESION OTORGADA;SALMONES;8,5;9B;QUINCHAO;REGIÓN DE LOS LAGOS;SHOA-7390;WGS-84;18 SUR;"S 42°24´25.7100, W 73°19´17.4600

S 42°24´21.9000, W 73°19´12.0900

S 42°24´33.6200, W 73°18´56.9800

S 42°24´37.4300, W 73°19´2.3600";2847;11-12-2002;947;17-03-2003;AGUA Y FONDO;CONCESIÓN OTORGADA
1388;AQUACHILE MAULLIN LTDA.;93103081;101987;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;CANAL CHAUQUES, PUNTA MITAHUE, ISLA BUTACHAUQUES;CONCESION OTORGADA;SALMONES;55,53;8;QUEMCHI;REGIÓN DE LOS LAGOS;SHOA-7390;WGS-84;18 SUR;"S 42°17´50.6300, W 73°9´41.6200

S 42°17´40.9000, W 73°9´22.7700

S 42°18´0.3400, W 73°9´17.0700

S 42°18´15.4500, W 73°9´0.1800

S 42°18´28.8300, W 73°9´15.8500";1267;05-07-1996;712;03-02-1997;AGUA Y FONDO;CONCESIÓN OTORGADA
1389;CERMAQ CHILE S.A.;91000646;102117;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;PUERTO VOIGUE, ISLA CHENIAO;CONCESION OTORGADA;SALMONES;20;8;QUEMCHI;REGIÓN DE LOS LAGOS;SHOA-7390;WGS-84;18 SUR;"S 42°18´2.6100, W 73°12´17.8400

S 42°18´1.1600, W 73°11´51.7100

S 42°18´9.5400, W 73°11´32.4600

S 42°18´14.4100, W 73°11´36.6300

S 42°18´7.6900, W 73°11´52.2300

S 42°18´9.0700, W 73°12´17.1900";1041;17-07-1997;1375;03-08-1998;AGUA Y FONDO;CONCESIÓN OTORGADA
